id	category	observation
158	political	Anti-fascist poster; authorship unconfirmed
159	political	Handwritten Bengali campaign placard
160	political	Campaign wall mural photograph
161	political	Wall portrait painting in progress
162	political	Campaign wall art with migrant labour theme
163	political	Group painting campaign wall; camera attribution retained
164	political	Group beside campaign wall
165	political	Wide view of campaign wall and trees
166	political	Campaign wall beside street
167	political	Campaign wall lettering and symbol
168	political	Street photograph with campaign wall
169	political	Campaign wall lettering
170	political	Campaign conversation with flags
171	political	Campaign walk with scarves
172	political	Seated greeting with elder during campaign
173	political	Wall mural painting in progress
174	political	Wall mural crowd and party symbol
175	political	Wall mural group holding banner
176	political	Wall mural carrying harvested crop
177	political	Wide wall mural workers and demand placard
178	political	Alternate view of wall mural crowd
179	others	Portrait through vehicle sunroof; context unconfirmed
180	political	Wall mural farmer carrying harvested crop
181	political	Wall mural opposing bulldozer politics
182	political	Wall mural figure pointing and campaign lettering
183	political	Alternate view farmer wall mural
184	political	Campaign raised fist and flags
185	political	Long campaign wall lettering
186	political	Wall mural mother child and document
187	political	Wider mother child wall mural
188	political	Wall mural carrying crop
189	political	Campaign wall and painters
190	political	Campaign wall and painter
191	political	Campaign lettering and painter
192	political	Campaign lettering and party symbol
193	political	Wall painting in progress
194	political	Street beside campaign wall
195	political	Alternate photograph painter and lettering
196	political	Alternate photograph wall and painters
197	political	Doorstep campaign conversation
198	political	Campaign conversation through gate
199	political	Campaign walk alongside highway
200	political	Market campaign photograph
201	political	Alternate market campaign photograph
202	political	Greeting seated elder
203	political	Conversation across garden wall
204	political	Market conversation with flag
205	political	Campaign walk outside shop
206	political	Market handshake photograph
207	political	Market greeting photograph
208	political	Campaign group in market
209	political	Market conversation with placards
210	political	Alternate market handshake photograph
211	political	Painted portrait with raised fist; authorship unconfirmed
212	others	Bedside greeting photograph; personal context and publication consent unconfirmed
213	others	Alternate bedside greeting photograph; personal context and publication consent unconfirmed
214	others	Doorstep conversation photograph
215	political	Greeting child during campaign
216	others	Greeting elder at gate
217	political	Campaign portrait with garland and flag
218	political	Campaign procession
219	political	Night campaign group portrait
220	political	Campaign greeting in street
221	political	Greeting elder with garland
222	political	Alternate greeting elder
223	political	Raised fist beside bicycle during campaign
224	political	Flowers placed in hair during campaign
225	political	Night campaign procession
226	political	Night photograph beside campaign wall
227	political	Seated portrait with party scarf
228	political	Taking photograph beside campaign wall
229	others	Seashore landscape
230	others	Flower stem against cloudy sky
231	others	Bare tree in green field
232	political	Domestic room children and books
233	political	Woman beside train with flowing Bengali text; preserve text
234	political	Woman behind barbed wire
235	others	Pink flower beside building and railings
236	political	Ant-like figures marching with raised fists
237	others	Mother and child
238	political	Babri mosque political poster with Bengali text
239	palestine	Poem attributed on artwork to Taufiq Ziad; retain attribution
240	others	Trees against yellow sky
241	others	Reclining figure crescent and red flowing cloth
242	others	Woman holding crescent against blue night
243	political	Farmers crossing police barricades
244	palestine	Palestine solidarity poster with flag and text
245	political	Farmer wheat and barricades portrait
246	others	Yellow flower bud
247	others	Yellow blossoms in sketchbook
248	others	Red flower on branch
249	others	Blue print of reclining figures
250	political	People walking railway tracks and scattered belongings
251	others	Mother and child beneath crescent
252	others	Child resting among green leaves
253	others	Child and large tree
254	others	Child by tree and fallen trunk
255	political	Excavator cutting tree beside child
256	political	Bombed landscape with aircraft and falling figure
257	others	Child among trees and gathering
258	others	Single pink flower on paper
259	others	Sketchbook person and pink flower beside sea
260	others	Sketchbook floating person with flower under moon
261	others	Sketchbook floating person and flower over water
262	others	Sketchbook person reaching for flower above crescent
263	others	Sketchbook blue sea figure reaching toward flower
264	others	Sketchbook river landscape and Bengali lettering
265	political	Felani Khatun border killing sketchbook memorial; preserve inscription
266	political	Sketchbook barbed wire
267	political	Pink flower on barbed wire
268	political	Pink flower above barbed wire
269	political	World map behind barbed wire
270	political	Sketchbook map surrounded by grid drawings
271	palestine	All Eyes on Rafah artwork
272	others	Hand holding miniature night landscape sketchbook
273	others	Hand holding valley landscape sketchbook
274	others	White flowers on dark background
275	others	Mother and child crescent; alternate image 112
276	others	Mother combing child's hair at night
277	political	Kites and mechanical forms over landscape
278	others	Blue room interior with sofa and books
279	political	Bangladesh flag facing rifles
280	others	Detail of moonlit waves
281	others	Full moonlit waves composition
282	political	Women raising hands in city at night
283	others	Three figures standing in moonlit water
284	others	Women beside river gorge
285	others	Three figures beside winding river
286	political	Armed figure beside river gorge
287	others	Birds along river bend
288	others	Painted Chambal and Yamuna map; artistic reference not authoritative geography
289	others	Blue river branches and small figures
290	others	Woman with long flowing green cloth across gorge
291	political	Armed figures and red river; violence imagery
292	others	River gorge landscape
293	others	Winding river and tributaries
294	others	Alternate flower and barbed wire image 267
295	political	Alternate Felani Khatun memorial image 265
296	others	Tree on ochre ground
297	others	Red sun among trees
298	others	Tree shrine and red sun
299	others	Portrait of bearded man; identity unconfirmed
300	palestine	Figure carrying belongings and smoke beside 500 Miles marker; used on Palestine book cover
301	others	Moon tree and patterned form on ground
302	political	Wheelchair user with quoted poem; attribution needs confirmation
303	political	Protesters walking on spikes beside barbed wire
304	political	Farmer and woman against protest banners
305	political	Protesters facing barbed wire and banner
306	political	Anti-fascist illustration with Bengali text and India outline
307	political	Woman speaker with red hammer and sickle flag
308	others	Woman portrait in red and blue; context uncertain
309	others	Red flowers bees and crescent
310	others	Bees around orange flower
311	others	Woman carrying child beside tree
312	others	Red flower above exposed roots
313	political	Woman child and tree threatened by excavators
314	others	Alternate woman child and tree composition
315	political	Line drawing procession beside bare tree
316	political	Line drawing figure and crowd among tree roots
317	political	Line drawing gathering beneath tree and flag
318	political	Line drawing crowd between rooted trunks
319	political	Injured person before blindfolded figures labelled with names
320	political	Body in field with pole; violence context unconfirmed
321	political	Hand gripping golden emblem; political symbolism
322	political	Dam construction and displaced families
323	others	Photograph of historical painted wall; reference and authorship unconfirmed
324	others	Sideways photograph of woman child and boat painting
325	others	Closer view of woman child and boat painting
326	political	Headless male torsos under moon
327	political	Figures on domed structures and crowds; political allegory
328	political	Ambedkar banner and Educate Agitate Organise lettering
329	others	Blue wheeled bag study; photographed sideways
330	others	Grey duffel bag study; photographed sideways
331	others	Dark backpack study; photographed sideways
332	others	Red backpack study; photographed sideways
333	others	Patterned duffel bag study; photographed sideways
334	others	Teal suitcase study; photographed sideways
335	others	Cement sack study; photographed sideways
336	others	Grey tied bag study; photographed sideways
337	others	Yellow grain sack study; photographed sideways
338	others	Red bag study; photographed sideways
339	others	Red woven bag study; photographed sideways
340	others	Woman portrait with crescent
341	palestine	Installation detail map of Mediterranean and Red Sea; context linked to images 353-359
342	others	Seascape with cranes; photographed installation detail
343	others	Vertical shore and cranes study
344	others	River map and seascape installation detail
345	others	Blue river map study
346	others	Teal river map study
347	others	Minimal river line study
348	others	Vertical blue waves study
349	others	Shore waves under grey sky
350	others	Pale sea and crescent
351	palestine	Installation view with map seascapes textiles and drum; related Palestine installation
352	palestine	Alternate full installation view
353	palestine	Map detail stamped The Genocide the World Saw Live
354	palestine	Map and stamped text installation detail
355	palestine	Map and seascapes installation view
356	palestine	Text lines and river map installation detail
357	palestine	Stamped text and seascape installation detail
358	palestine	Stamped text lines on gallery wall
359	palestine	Close-up The Genocide the World Saw Live
360	palestine	Seascape panel details in installation
361	palestine	Palestinian flag and stamped red green cards installation
362	palestine	Card stamped The Genocide the World Saw Live beside Palestinian flag
363	palestine	Complete map with stamped text
364	others	Exhibition visitors and mixed installation wall
365	others	Visitors photographing exhibition wall
366	others	Child viewing video installation
367	others	Visitor viewing collective exhibition wall
368	others	Group viewing exhibition wall
369	others	Alternate visitor group at exhibition
370	others	Children playing outdoors at night
371	others	Mustard field seen through mesh fence
372	others	Alternate mustard field photograph
373	others	Hand holding sketchbook red flower page
374	others	Sketchbook pale yellow landscape
375	others	Sketchbook dark grassy landscape
376	others	Sketchbook trees on yellow grey ground
377	others	Sketchbook trees and fields
378	others	Sketchbook trees and yellow sky
379	others	Sketchbook yellow wash
380	others	Sketchbook pale sky and dark grasses
381	others	Sketchbook dark fields
382	others	Indoor portrait beside bookshelves
383	political	Night group photograph with red flag
384	others	Night group portrait; event unconfirmed
385	political	Night campaign group portrait
386	political	Indoor campaign gathering with scarves
387	political	Portrait beside campaign wall
388	political	Two people beside campaign wall
389	political	Campaign group beside wall
390	political	Campaign conversation outdoors
391	political	Greeting seated elder during campaign
392	political	Greeting elder beside tree and flag
393	political	Campaign greeting with woman
394	political	Campaign group portrait with flag
395	political	Greeting elder during campaign
396	political	Seated portrait beneath campaign lettering
397	political	Group seated beneath campaign lettering
398	political	Seated portrait with party scarf
399	political	Workers raising red flag; larger version related to image 130
400	political	Campaign group with banner outside home
401	political	Alternate campaign group outside home
402	political	Campaign conversation with cyclist
403	political	Painting campaign wall lettering
404	others	Indoor greeting photograph; context unconfirmed
405	political	Seated campaign conversation with flag
406	political	Campaign doorstep conversation
407	political	Campaign greeting seated women
408	political	Alternate campaign greeting seated women
409	political	Night portrait with elder and campaign scarf
410	political	Night campaign group portrait
411	political	Night campaign group portrait closer
412	others	Portrait of three men; identities and event unconfirmed
413	others	Night gathering; event unconfirmed
414	political	Campaign walk with placards
415	political	Closer campaign walk
416	political	Selfie with older man
417	political	Stencil painting on campaign wall
418	political	Closer stencil painting process
419	political	Alternate stencil painting process
420	political	Campaign symbol on wall
421	political	Applying stencil to campaign wall
422	political	Completed campaign wall stencils
423	political	Campaign portrait and flag mural
424	political	Campaign group with red flags
425	political	Portrait with street vendor and campaign scarf
426	others	Older woman and child with embroidered quilt; personal context unconfirmed
427	political	Campaign group beneath trees
428	political	Street speech with large red flags
429	political	Greeting woman during campaign
430	political	Greeting woman beside campaign placard
431	political	Greeting man beside campaign placard
432	political	Greeting woman during campaign
433	political	Women with campaign banner and flags
434	political	Procession walking beside fields
435	political	Procession approaching beside fields
436	political	Alternate procession beside fields
437	political	Group carrying flags beside fields
438	political	Raised fist from car sunroof
439	political	Greeting seated elder during campaign
440	political	Campaign speech from vehicle
441	political	Crop of campaign wall artwork
442	political	Hand holding Bengali Ambedkar booklet; reference publication
443	political	Indoor portrait holding Ambedkar booklet
444	others	Painting small figurine; craft process photograph
445	political	Campaign speech with drummer and flag
446	political	Night campaign group portrait
447	others	Night gathering; event unconfirmed
448	political	Selfie with procession behind
449	political	Alternate selfie with procession behind
450	political	Campaign group walking with placard
451	political	Portrait with man and campaign scarf
452	others	Outdoor seated conversation; event unconfirmed
453	political	Night group selfie with campaign scarf
454	political	Flowers held beside red flag
455	political	Night portrait with red flags
456	political	Street performance with microphone and red flags
457	political	Alternate street performance with microphone and flags
458	political	Night campaign speech outdoors
459	political	Alternate night portrait with flags
460	political	Campaign selfie screenshot with reaction icons overlapping photograph; retain original and flag overlay
461	political	Child holding flag beside campaign wall
462	political	Alternate child with flag and wall
463	political	Wider child with flag and wall
464	political	Older man with folded flag beside highway
465	others	Older man walking along roadside; event unconfirmed
466	political	Cyclist with red flags
467	political	Alternate cyclist with flags
468	political	Campaign symbol painted on wall
469	political	Man holding flag beside campaign wall
470	political	Raised fist beside campaign wall
471	political	Older man crossing road with folded flag
472	political	Campaign wall with hammer and sickle symbol
473	political	Alternate hammer and sickle wall photograph
474	political	Person carrying red flag outside house
475	political	Community gathering beneath flowering tree
476	political	Large foot pressing excavator; alternate artwork
477	political	Poster painting workshop photograph
478	political	Lakhimpur Kheri memorial poster; retain caption but verify stated date before publication
479	others	Mother and child under crescent; colour variation of image 112
480	others	Red blue print of group under tree
481	political	Women protesting in city; preserve verse overlay
482	others	Yellow flower on dark blue ground
483	others	Tree and patterned form; alternate image 301
484	others	Red blue print mother child and bare tree
485	others	Women with flowing hair and verse
486	others	Reclining woman and child with crescent and patterned cloth
487	others	Seated older figure and small lit niche; preserve verse
488	others	Artwork installation photograph of cremation scene
489	others	Painting small figurines photograph
490	political	Campaign speech photograph
491	political	Long procession over buildings
492	political	Workers peasants banner illustration with Bengali text
493	political	Woman child and red party flag
494	political	Woman carrying crop child and red party flag
495	political	Phone screenshot of marching figures under crescent; crop interface
496	others	Phone screenshot botanical sketch; crop interface
497	others	Phone screenshot botanical sketch alternate; crop interface
498	others	Phone screenshot line drawing speaker; crop interface
499	political	Already cropped drawing of armed figure confronting crowd
500	others	Phone screenshot mother child and crescent with verse; preserve artwork text
501	political	Phone screenshot pointing farmer against red flag
502	others	Phone screenshot mother child under crescent
503	others	Phone screenshot woman carrying child under moon
504	political	Phone screenshot Bengali procession event poster; preserve full poster text
505	others	Mother child artwork with Kaifi Azmi verse; keep full quote and attribution
506	political	Woman holding flowers against names of victims; memorial context needs confirmation
507	political	Crowd with Save lettering
508	political	Crowd under tree and speaker
509	political	Gathering with Indian flag under crescent
510	others	Figure beside blue boat on shore
511	political	Procession with red flags through mist
512	political	Mother child beside barricade and wire
513	political	Farmers on tractor amid city structures and flags
514	political	Blue vertical composition with falling figures; already cropped
515	others	Bangla Journal general call for submissions; reference document not a biographical source
516	others	Citizen Nagar film graphic; preserve film credits
517	others	Bibir Darga exhibition discussion photograph
518	others	Bibir Darga gallery audience photograph
519	others	Visitor viewing framed exhibition art
520	others	Exhibition opening discussion photograph
521	others	Alternate gallery audience photograph
522	others	Bibir Darga exhibition invitation; retain event text
523	others	Alternate exhibition audience photograph
524	others	Phone screenshot tree and gathering landscape
525	others	Phone screenshot owl drawing
526	others	Phone screenshot man holding sunflowers; identity unconfirmed
527	others	Phone screenshot orange flower study
528	others	Phone screenshot dark room and glowing television
529	others	Phone screenshot dark domestic interior
530	others	Figure among graves under moon; specific event unconfirmed
531	political	Woman holding bloodied crescent
532	political	Indian flag with injured head and verse; retain text
533	political	Bowed injured person before flames
534	political	Instagram post migrant workers with quotation embedded in artwork; preserve quotation
535	others	PARI social card with artist biography; keep credit in archive
536	political	PARI social card quoting Labani; keep quote and credit in archive
537	political	Red flag over crowd
538	political	Phone screenshot outdoor gathering photograph
539	political	Phone screenshot Bengali campaign graphic
540	political	Campaign photograph with banner; already cropped
541	political	People confronting bulldozer
542	political	Bulldozer and family; alternate image 127
543	political	Excavators tearing red tree; alternate image 128
544	political	Phone screenshot photographed bulldozer artwork
545	others	Phone screenshot photographed mother child artwork; UI overlaps top surroundings
546	political	Phone screenshot Inquilab artwork; alternate image 136
547	political	Migrant March of Red Ants under Lockdown illustration
548	others	Blue waves painting
549	others	Figure facing starry sea
